,time,lat,lon,observation_T,Doppio_T,GoMOLFs_T,FVCOM_T,Clim_T,difference
574,2019-07-02 10:33:00,41.138529999999996,-71.22091,10.59,9.444909546229267,9.20677677307458,12.559039115905762,9.1558,-1.9690391159057619
575,2019-07-02 11:36:00,42.69553,-70.33763,5.24,6.312361272653903,6.565034495728867,6.1479692459106445,5.7271,-0.9079692459106443
576,2019-07-02 11:52:00,41.14047,-71.22155,10.61,9.448958726691524,9.163174504425116,12.551840782165527,9.1558,-1.941840782165528
577,2019-07-02 11:57:00,42.78784,-70.55481999999998,4.86,6.366131117412009,6.392930713828832,6.234807014465332,5.323,-1.3748070144653317
578,2019-07-02 13:15:00,41.13584,-71.26825,10.4,9.37314397352263,8.786070868649404,12.36056423187256,8.8214,-1.96056423187256
579,2019-07-02 14:25:00,42.8563,-70.5866,4.84,6.2953663125947665,6.490689648794671,5.988222122192383,5.3938,-1.148222122192383
580,2019-07-02 14:36:00,41.13689,-71.23906,10.21,9.39157998416664,9.081739683783097,12.476053237915039,8.8214,-2.266053237915038
581,2019-07-02 14:50:00,42.70518,-70.31296999999999,5.25,6.33338739358544,6.510605644022576,6.138826847076416,5.1038,-0.888826847076416
582,2019-07-02 15:19:00,42.83109,-70.5772,5.16,6.273339389410238,6.271660493826289,5.97724199295044,5.3938,-0.8172419929504402
583,2019-07-02 15:42:00,41.13746,-71.23911,10.02,9.400469505379512,9.332609176635742,12.50075912475586,8.8214,-2.48075912475586
584,2019-07-02 16:59:00,41.132529999999996,-71.2684,9.93,9.355708526154096,8.932083910504389,12.450637817382812,8.8214,-2.520637817382813
585,2019-07-02 17:16:00,42.82063,-70.62316,4.86,6.482234430402401,6.658133534721402,6.25357723236084,5.348,-1.3935772323608395
586,2019-07-02 18:08:00,41.13914000000001,-71.24494,9.89,9.44863325708488,9.019874950913618,12.53783130645752,8.8214,-2.647831306457519
587,2019-07-03 08:38:25,42.7501,-70.3674,5.34,6.0386612721874675,6.546901224521662,6.2797489166259775,5.8894,-0.9397489166259776
588,2019-07-03 10:05:00,41.05725,-71.30614,9.75,8.581928802456929,8.457516720889203,11.240205764770508,8.895,-1.4902057647705078
589,2019-07-03 10:10:23,42.7663,-70.2706,6.16,6.094310161282523,6.599881388479845,6.0666747093200675,5.1864,0.09332529067993267
590,2019-07-03 10:40:00,41.15293,-71.41311,10.57,9.732574519502805,9.990581240288748,13.486851692199707,9.4121,-2.9168516921997067
591,2019-07-03 10:55:00,42.75205,-70.29143,6.11,6.086313207542304,6.614386226972102,6.225722312927246,5.6006,-0.11572231292724577
592,2019-07-03 11:09:00,41.04802,-71.30932,9.53,8.491522579038758,8.38366881947536,11.180150985717773,8.895,-1.650150985717774
593,2019-07-03 11:54:00,42.78962,-70.53184,4.88,6.216672058433829,6.2236405875164555,6.026061534881593,5.3483,-1.1460615348815928
594,2019-07-03 12:54:00,41.233909999999995,-71.40579,10.67,10.091333103562206,10.094082749269036,13.938292503356935,9.3665,-3.2682925033569354
595,2019-07-03 13:49:00,41.04868,-71.30869,9.53,8.474244652691128,0.0,11.108306884765623,8.895,-1.5783068847656239
596,2019-07-03 14:10:00,42.7009,-70.30999,5.29,6.215033532606611,6.493421139160148,6.191981315612793,5.1113,-0.9019813156127929
597,2019-07-03 14:53:00,41.15376,-71.41105,10.61,9.675269396825227,9.8929209765314,13.411855697631836,9.4121,-2.8018556976318365
598,2019-07-03 16:21:00,41.07399,-71.30685,9.61,8.673512725129598,8.601570706081603,11.632070541381836,8.895,-2.0220705413818365
599,2019-07-03 16:58:00,42.820570000000004,-70.58015999999998,4.73,6.260286850274838,6.344308218839045,6.08167839050293,5.3736,-1.3516783905029293
600,2019-07-05 10:14:00,41.15117,-71.41135,10.88,10.004051990345973,10.251264632028779,14.000845909118652,9.4529,-3.1208459091186516
601,2019-07-05 12:16:00,41.22748,-71.40901,10.94,10.319379183243498,10.426416315394247,14.420514106750488,9.3984,-3.480514106750489
602,2019-07-05 13:58:00,41.1634,-71.41259000000002,10.89,10.038759354313896,10.22944884707374,13.904755592346193,9.4529,-3.0147555923461926
603,2019-07-06 09:45:00,42.75224,-70.29156,6.03,5.833450119858185,6.6709875957238305,6.12910270690918,5.6564,-0.09910270690917944
604,2019-07-06 11:06:00,42.79464,-70.32522,5.13,5.8504105720121435,6.775781969014248,6.061628818511963,5.1992,-0.931628818511963
605,2019-07-06 11:58:00,42.83068,-70.5251,4.75,5.923427310060006,6.104206317398323,5.825945854187013,5.4293,-1.0759458541870126
606,2019-07-06 13:05:00,42.85499,-70.38904000000002,5.36,5.922016251690309,6.178114903935487,5.832015037536621,5.2397,-0.4720150375366208
607,2019-07-06 14:17:00,42.804970000000004,-70.56504,4.96,6.0554648792111285,6.245753464119844,5.979031562805176,5.4234,-1.0190315628051758
608,2019-07-06 15:19:26,42.8206,-70.3575,4.78,5.844818214362648,6.161079335467719,6.016233921051025,5.1992,-1.2362339210510251
