,time,lat,lon,observation_T,Doppio_T,GoMOLFs_T,FVCOM_T,Clim_T,difference
1937,2020-06-09 12:39:00,42.75844,-70.56967,5.57,6.644683062488724,6.837175730706535,6.22946310043335,4.9238,-1.2671757307065343
1938,2020-06-09 13:45:00,41.86632,-67.66956,10.28,8.85304661655914,10.466176656059773,7.857068061828612,9.6171,-0.1861766560597733
1939,2020-06-09 15:51:00,42.82099,-70.66408,5.59,6.783594129217619,7.087106931164385,5.929533958435059,4.9693,-1.4971069311643852
1940,2020-06-10 02:22:00,41.801359999999995,-67.69179,10.37,10.01534707709652,10.687430224344126,8.511075973510742,9.8675,-0.31743022434412715
1941,2020-06-10 04:37:00,42.2627,-70.5595,5.89,6.85074806272567,7.360185658427696,5.941895484924316,5.3398,-1.4701856584276962
1942,2020-06-10 04:54:00,41.85468,-67.67194,10.39,10.378228846486763,10.516962670302902,8.224092483520508,9.6994,-0.12696267030290187
1943,2020-06-10 07:13:00,41.8218,-67.67143,10.64,10.430293532098348,10.585981770238318,7.830408573150635,9.7631,0.05401822976168269
1944,2020-06-10 09:18:00,41.79902,-67.64649,10.59,10.358640514038257,10.648443216957894,7.7216644287109375,9.7631,-0.058443216957893895
1945,2020-06-10 12:59:00,42.805409999999995,-70.54821,5.57,6.580932015741202,6.788042177274576,6.183298587799072,4.8085,-1.218042177274576
1946,2020-06-10 15:29:00,42.81276,-70.55471,5.57,6.582808107007555,6.794581307285952,6.13756275177002,4.8085,-1.224581307285952
1947,2020-06-13 14:43:00,42.81542,-70.53430999999998,5.57,6.616344481272236,6.789821997818772,6.542376518249513,4.8762,-1.219821997818772
1948,2020-06-13 16:06:00,42.83686,-70.66237,5.58,6.864459693395872,7.1593673900938475,6.162124156951903,5.2598,-1.5793673900938474
1949,2020-06-13 16:21:00,42.00144,-67.94913000000001,8.66,5.028424183695506,7.78082719831209,5.993335247039795,6.8786,0.8791728016879103
1950,2020-06-13 22:04:00,41.85761,-68.13356,8.07,5.833193495342016,8.437725451551387,6.451937675476074,6.3693,-0.3677254515513866
1951,2020-06-14 00:57:00,41.84924,-68.16686,8.26,5.564673987904371,8.602766777702527,6.356684684753418,6.3821,-0.3427667777025274
1952,2020-06-14 11:56:00,42.77806,-70.66705,5.58,9.724053961286238,7.388687316877168,6.030020236968994,5.0395,-1.808687316877168
1953,2020-06-14 14:24:00,42.80181,-70.66119,5.6,6.994930295066125,7.207558520762517,6.0820393562316895,5.0395,-1.6075585207625176
1954,2020-06-14 16:47:00,42.83825,-70.66383,5.57,6.951508251290591,7.241202256641031,6.045037269592285,5.2798,-1.6712022566410303
1955,2020-06-14 21:24:00,40.02192,-69.58412,11.83,6.070396094260446,10.174410822830367,6.453532695770264,10.864,1.6555891771696327
1956,2020-06-15 12:23:00,42.84542,-70.52490999999998,5.55,6.583928899930115,6.805606117001346,6.453172206878662,5.2185,-1.2556061170013466
1957,2020-06-15 14:43:00,42.79724,-70.57338,5.57,6.6523933400632975,6.913994642699361,6.315817356109619,4.9229,-1.3439946426993608
1958,2020-06-15 17:14:00,42.79614,-70.58742,5.55,6.6214601270834805,6.9256083924259135,6.217447280883789,4.9395,-1.3756083924259137
1959,2020-06-16 09:29:00,42.76016,-70.61188,5.6,6.794340438509209,7.174899963686188,6.0169334411621085,5.0091,-1.574899963686188
1960,2020-06-16 12:07:00,42.16298,-70.28958,8.89,6.959996555477289,8.840506138585171,7.8227171897888175,7.3389,0.049493861414829254
1961,2020-06-16 12:22:00,42.83273,-70.52274,5.58,6.588718651450917,6.80729062545889,6.349323272705077,5.2332,-1.22729062545889
1962,2020-06-16 12:50:00,42.80041,-70.6678,5.61,7.0379517604799835,7.488798561529848,5.576209545135498,5.0654,-1.8787985615298473
1963,2020-06-16 14:28:00,41.83116,-70.22624,9.17,10.530957803182217,9.952688228407569,5.702420711517334,9.2068,-0.7826882284075687
1964,2020-06-16 14:59:00,42.81651,-70.51635,5.58,6.59183964088998,6.810826807775623,6.351438999176025,5.1902,-1.2308268077756228
1965,2020-06-16 16:02:00,42.83017,-70.65312,5.62,6.889002400856326,7.2278372662218535,5.477620601654053,5.3185,-1.6078372662218534
