,time,lat,lon,observation_T,fitting,no_fitting
4034,2020/7/2 8:23,40.85358,-71.60876,9.17,9.271072198,
4035,2020/7/2 8:24,40.86416,-71.58076,9.13,9.238733289,
4036,2020/7/2 8:25,40.87287,-71.57125,9.14,9.271279619,
4037,2020/7/2 8:26,42.80636,-70.66728,7.28,8.461371024,
4038,2020/7/2 8:27,42.82344,-70.66526,7.22,8.280428919,
4039,2020/7/2 8:28,42.8827,-70.63909,7.51,7.56040981,
4040,2020/7/2 8:29,42.89067,-70.60555,7.51,7.267210946,
4041,2020/7/2 8:30,42.86965,-70.65698,7.7,7.644835412,
4043,2020/7/2 8:31,41.02336,-71.57915,10.24,10.61493962,
4044,2020/7/2 8:32,42.87999,-70.62083,6.61,7.256498807,
4045,2020/7/2 8:33,41.10458,-71.58912,10.17,12.19492374,
4046,2020/7/2 8:34,42.82624,-70.36883,5.4,6.754270801,
4047,2020/7/2 8:35,42.81996,-70.65921,7.69,8.045832915,
4048,2020/7/2 8:36,42.78844,-70.32859,6.99,6.950974072,
4049,2020/7/2 8:37,41.22262,-71.41135,10.94,11.90284115,
4050,2020/7/2 8:38,42.77871,-70.64979,7.21,8.136562401,
4051,2020/7/2 8:39,42.70149,-70.30531,7.03,7.020826695,
4052,2020/7/2 8:40,41.17523,-71.41766,11.13,12.37209206,
4053,2020/7/2 8:41,42.77505,-70.27177,7.38,6.937996976,
4054,2020/7/2 8:42,42.79044,-70.65127,7.86,8.029894854,
4055,2020/7/2 8:43,41.22439,-71.41066,11.12,11.95532449,
4056,2020/7/2 8:44,42.74124,-70.29452,7.36,7.05440135,
4057,2020/7/2 8:45,42.78012,-70.65664,7.37,8.203952698,
4058,2020/7/2 8:46,42.81593,-70.33818,6.64,6.658181545,
4059,2020/7/2 8:47,42.86285,-70.64909,7.81,7.480440972,
4060,2020/7/2 8:48,42.81744,-70.64512,7.86,7.83591624,
4061,2020/7/2 8:49,40.85166,-71.57792,9.31,9.49055076,
4062,2020/7/2 8:50,40.85449,-71.5664,9.3,9.477250091,
4063,2020/7/2 8:51,42.88278,-70.64868,7.66,7.719424831,
4064,2020/7/2 8:52,42.80487,-70.67503,7.69,8.744077548,
4065,2020/7/2 8:53,40.88879,-71.57406,9.33,9.921054676,
4066,2018/8/11 10:19,42.8554,-70.65554,7.63,7.954337584,
4067,2018/8/11 12:19,42.87833,-70.64887,7.61,7.827761789,
4069,2018/8/11 14:20,42.80697,-70.65507,7.62,8.233022654,
4070,2018/8/11 16:23,42.83291,-70.66638,7.81,8.391602206,
4071,2018/8/12 9:33,42.77704,-70.33952,6.6,7.174846881,
4072,2018/8/12 10:12,41.20536,-71.42442,12.36,12.61529664,
4073,2018/8/12 11:37,42.79646,-70.66284,7.83,8.764712009,
4074,2018/8/12 12:03,41.16589,-71.41678,12.2,12.71704849,
4075,2018/8/12 12:50,42.78662,-70.34194,5.27,7.174290232,
4076,2018/8/12 13:37,42.77906,-70.64477,7.84,8.391164897,
4077,2018/8/12 14:00,41.1946,-71.42225,12.04,12.65669135,
4078,2018/8/12 14:41,42.83897,-70.3849,6.58,6.934016972,
4079,2018/8/12 15:46,42.8478,-70.65419,7.93,8.0455881,
4080,2018/8/13 10:37,41.17357,-71.41903,12.65,13.240147,
4081,2018/8/13 11:34,42.78466,-70.66466,8.02,9.04968118,
4082,2018/8/13 12:26,41.23076,-71.41064,12.65,13.1009093,
4083,2018/8/13 13:39,42.85134,-70.65642,8.01,8.195641976,
4084,2018/8/13 16:03,42.83648,-70.6626,7.97,8.455596203,
4085,2018/8/14 11:12,41.17114,-71.41656,13,13.21555119,
4086,2018/8/14 11:38,42.9021,-70.61428,7.88,7.724640696,
4087,2018/8/14 12:09,42.78687,-70.33082,6.24,7.131286865,
4088,2018/8/14 13:02,41.22304,-71.41051,13.02,13.30763724,
4089,2018/8/14 13:38,42.84225,-70.66029,7.79,8.319790074,
4090,2018/8/14 15:08,42.79556,-70.33239,5.49,7.149503578,
4091,2018/8/14 15:44,42.83004,-70.66398,8.02,8.466009544,
4092,2018/8/15 10:57,41.16253,-71.41186,12.73,13.25881291,
4093,2018/8/15 12:41,41.23125,-71.40714,12.77,13.65570194,
4094,2018/8/15 13:13,42.88056,-70.63005,7.66,7.775800884,
4096,2018/8/15 14:32,41.27687,-71.52374,14.3,14.16737748,
4097,2018/8/15 16:27,42.88544,-70.63205,7.53,7.492672132,
4098,2018/8/16 10:37,41.12828,-71.52883,15.62,13.97659738,
4099,2018/8/16 11:24,41.10161,-71.5217,16.77,13.71728908,
4100,2018/8/16 12:33,41.11031,-71.60721,17.36,14.34328025,
4101,2018/8/16 12:33,42.88031,-70.62561,7.55,7.635088187,
4102,2018/8/16 13:05,41.11278,-71.5829,18.23,13.91823588,
4103,2018/8/16 14:53,41.18558,-71.48765,14.41,13.87297348,
4104,2018/8/16 15:41,42.88548,-70.63301,7.56,7.433391791,
4105,2018/8/16 18:42,42.88492,-70.63078,7.44,7.383205324,
4106,2018/8/17 11:30,42.80205,-70.66327,7.36,8.521687345,
4107,2018/8/17 11:35,40.9732,-71.57176,11.48,11.70380109,
4108,2018/8/17 14:02,40.99347,-71.46171,10.08,12.09680022,
4109,2018/8/17 16:17,41.06086,-71.55226,11.51,12.86832623,
4110,2018/8/18 13:42,42.84972,-70.64814,7.46,7.740332359,
4111,2018/8/18 15:53,42.83139,-70.66089,7.35,8.202006471,
4119,2018/8/20 11:24,41.16237,-71.41708,13.29,13.21777229,
4120,2018/8/20 11:43,42.89753,-70.63095,7.52,7.839753931,
4121,2018/8/20 13:11,41.22423,-71.40959,13.29,13.58773782,
4122,2018/8/20 13:48,42.82775,-70.65992,7.54,8.314454996,
4124,2018/8/20 14:43,41.16632,-71.42077,13.33,13.35267467,
4125,2018/8/20 15:54,42.88941,-70.6357,7.56,7.835883124,
4132,2018/8/21 11:31,42.8983,-70.62299,7.53,7.680579238,
4133,2018/8/21 13:37,42.83107,-70.6564,7.54,7.852251767,
4139,2018/8/22 11:30,42.79168,-70.65735,7.6,7.96214864,
4140,2018/8/22 13:30,42.8648,-70.65891,7.61,7.551577273,
4142,2018/8/22 15:31,42.808,-70.67243,7.63,8.176173109,
4148,2018/8/23 11:30,42.89021,-70.62797,7.68,7.57757972,
4149,2018/8/23 12:16,41.21563,-71.41538,13.68,13.61218627,
4151,2018/8/23 13:30,42.82428,-70.65563,7.67,7.646813612,
4152,2018/8/23 13:32,42.79424,-70.33211,5.89,7.040945179,
4153,2018/8/23 15:10,42.83733,-70.38189,8.42,6.69253516,
4154,2018/8/23 15:34,42.84812,-70.66846,7.66,7.883687286,
4159,2018/8/24 10:16,41.15467,-71.40783,13.23,13.01601356,
4160,2018/8/24 11:30,42.87342,-70.65187,7.77,7.663595821,
4161,2018/8/24 12:22,41.23419,-71.40682,13.38,13.70025319,
4163,2018/8/24 13:34,42.79639,-70.66084,7.79,8.072696129,
4164,2018/8/24 14:36,41.15582,-71.40371,13.15,12.9257861,
4165,2018/8/24 15:33,42.87014,-70.65361,7.75,7.850353041,
4167,2018/8/25 10:20,41.10413,-71.35918,11.73,12.22547346,
4168,2018/8/25 11:18,40.99156,-71.46409,10.9,11.3808514,
4169,2018/8/25 11:58,42.78616,-70.33675,5.8,7.364925176,
4170,2018/8/25 12:15,42.79212,-70.65739,7.89,8.241534497,
4171,2018/8/25 12:33,40.99862,-71.4633,10.94,11.43114692,
4172,2018/8/25 13:52,40.99697,-71.46291,10.94,11.39281114,
4173,2018/8/25 14:05,42.85699,-70.65082,7.85,7.768377802,
4174,2018/8/25 16:27,40.99192,-71.45943,10.94,11.30866822,
4175,2018/8/25 16:31,42.82682,-70.67078,7.83,8.383008722,
4176,2018/8/25 17:42,40.98907,-71.45671,10.97,11.29277183,
4177,2018/8/25 19:01,40.98832,-71.45733,10.99,11.31708503,
4178,2018/8/25 20:16,41.0479,-71.47411,11.43,12.285423,
4179,2018/8/25 21:34,42.74155,-70.38131,7.89,7.118967023,
4180,2018/8/26 11:26,42.79452,-70.66333,7.97,8.347534202,
4181,2018/8/26 13:27,42.86808,-70.65797,7.95,8.220973614,
4182,2018/8/27 8:55,42.80166,-70.32679,7.04,7.640929517,
4183,2018/8/27 10:16,42.82986,-70.37009,5.51,7.134348173,
4184,2018/8/27 11:41,40.95951,-71.42163,11.1,11.15254501,
4186,2018/8/27 13:36,42.78783,-70.65224,7.86,8.000705171,
4187,2018/8/27 13:56,41.02043,-71.46926,11.05,11.94730348,
4188,2018/8/27 15:10,42.78474,-70.34033,6.07,7.648861115,
4189,2018/8/27 15:44,42.86299,-70.65385,7.97,8.106823429,
4190,2018/8/28 11:05,40.98298,-71.45963,11.05,11.58424198,
4191,2018/8/28 11:26,40.95633,-71.43746,11.28,11.28927783,
4192,2018/8/28 12:13,42.78119,-70.64715,8.07,8.079328237,
4193,2018/8/28 12:26,40.95438,-71.46169,10.98,11.31773116,
4194,2018/8/28 13:26,41.02246,-71.46345,11.37,12.1573345,
4195,2018/8/28 13:52,40.98637,-71.45999,10.98,11.53768273,
4197,2018/8/28 14:47,42.87641,-70.64956,8.02,8.252279119,
4198,2018/8/28 15:02,42.86386,-70.45189,5.7,6.650572197,
4199,2018/8/28 15:17,40.95662,-71.45828,10.97,11.2841515,
4200,2018/8/28 16:40,40.9854,-71.45737,11,11.50124841,
4205,2018/8/29 11:26,40.95485,-71.43478,11.24,11.21305868,
4206,2018/8/29 12:58,41.01007,-71.4642,11.19,11.86201677,
4210,2018/8/30 11:18,40.98561,-71.45694,10.96,11.70222751,
4211,2018/8/30 11:27,42.87316,-70.64951,8.02,8.249927167,
4214,2018/8/30 12:48,40.95487,-71.45546,10.9,11.50864003,
4216,2018/8/30 14:13,40.9872,-71.45767,10.9,11.65101594,
